service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20200520,20200818
10,0,0,0,0,1,0,0,20200520,20200818
13,1,1,1,1,1,0,0,20200520,20200818
14,0,0,0,0,0,1,0,20200520,20200818
15,1,1,1,1,1,0,0,20200520,20200818
19,0,0,1,0,0,0,0,20200520,20200818
20,0,0,0,0,0,0,1,20200520,20200818
21,0,0,0,0,0,0,1,20200520,20200818
23,1,0,0,0,0,0,0,20200520,20200818
25,0,0,0,1,0,0,0,20200520,20200818
28,1,1,1,1,1,0,0,20200520,20200818
29,1,1,1,1,1,0,0,20200520,20200818
32,1,1,1,1,1,0,0,20200520,20200818
33,0,0,0,0,0,1,1,20200520,20200818
34,0,1,0,0,0,0,0,20200520,20200818
35,0,0,0,1,0,0,0,20200520,20200818
36,0,0,0,0,1,0,0,20200520,20200818
38,1,1,1,1,0,0,0,20200520,20200818
39,0,1,1,1,1,0,0,20200520,20200818
40,1,1,1,0,1,0,0,20200520,20200818
41,1,0,1,1,1,0,0,20200520,20200818
42,1,1,0,1,1,0,0,20200520,20200818
46,1,0,1,1,1,0,0,20200520,20200818
53,1,1,1,0,0,0,0,20200520,20200818
60,1,1,1,1,0,0,0,20200520,20200818
61,1,0,1,0,1,0,0,20200520,20200818
62,0,1,0,1,0,0,0,20200520,20200818
71,1,0,0,0,0,0,0,20200520,20200818
72,0,1,0,0,0,0,0,20200520,20200818
73,0,0,1,0,0,0,0,20200520,20200818
80,1,0,0,0,1,0,0,20200520,20200818
88,0,0,0,0,0,0,1,20200520,20200818
127,0,0,0,0,0,1,0,20200520,20200818
128,0,0,0,0,0,0,1,20200520,20200818
134,1,0,0,0,0,0,0,20200520,20200818
143,1,1,1,1,0,0,0,20200520,20200818
180,1,1,1,1,1,0,0,20200520,20200818
183,0,0,0,0,0,1,1,20200520,20200818
184,0,0,0,0,0,0,1,20200520,20200818
202,1,0,1,0,0,0,0,20200520,20200818
203,0,0,0,0,0,0,0,20200520,20200818
204,0,0,0,0,0,0,0,20200520,20200818
205,0,0,0,0,0,0,0,20200520,20200818
206,0,0,0,0,0,0,0,20200520,20200818
207,0,0,0,0,0,0,0,20200520,20200818
208,0,0,0,0,0,0,0,20200520,20200818
209,0,0,0,0,0,0,0,20200520,20200818
210,0,0,0,0,0,0,0,20200520,20200818
211,0,0,0,0,0,0,0,20200520,20200818
212,0,0,0,0,0,0,0,20200520,20200818
213,0,0,0,0,0,0,0,20200520,20200818
215,0,0,0,0,0,0,0,20200520,20200818
216,0,0,0,0,0,0,0,20200520,20200818
217,0,0,0,0,0,0,0,20200520,20200818
218,0,0,0,0,0,0,0,20200520,20200818
219,0,0,0,0,0,0,0,20200520,20200818
220,0,0,0,0,0,0,0,20200520,20200818
221,0,0,0,0,0,0,0,20200520,20200818
223,0,0,0,0,0,0,0,20200520,20200818
224,0,0,0,0,0,0,0,20200520,20200818
225,0,0,0,0,0,0,0,20200520,20200818
226,0,0,0,0,0,0,0,20200520,20200818
227,0,0,0,0,0,0,0,20200520,20200818
228,0,0,0,0,0,0,0,20200520,20200818
229,0,0,0,0,0,0,0,20200520,20200818
230,0,0,0,0,0,0,0,20200520,20200818
231,0,0,0,0,0,0,0,20200520,20200818
232,0,0,0,0,0,0,0,20200520,20200818
233,0,0,0,0,0,0,0,20200520,20200818
234,0,0,0,0,0,0,0,20200520,20200818
237,0,0,0,0,0,0,0,20200520,20200818
238,0,0,0,0,0,0,0,20200520,20200818
239,0,0,0,0,0,0,0,20200520,20200818
240,0,0,0,0,0,0,0,20200520,20200818
241,0,0,0,0,0,0,0,20200520,20200818
242,0,0,0,0,0,0,0,20200520,20200818
